type,it,price_change,stock_id,random,market_maker,chartist,fundamentalist,is_recovered,time_to_recover,before_price,after_price,before_return,after_return
MarketPriceShock,200,-50,0,20,5,5,10,False,,88.01,,0.000765856984478799,
MarketPriceShock,200,-50,1,20,5,5,10,False,,96.94999999999999,,0.0002689555312475085,
MarketPriceShock,200,-25,0,20,5,5,10,False,,92.67,,-0.0006623364745573186,
MarketPriceShock,200,-25,1,20,5,5,10,True,795.0,100.29999999999998,96.5,0.0004774628291767607,0.0004840532667907458
MarketPriceShock,200,-5,0,20,5,5,10,True,365.0,99.78,121.88999999999999,0.0011192295110272344,-0.0016814737385363264
MarketPriceShock,200,-5,1,20,5,5,10,True,315.0,100.74999999999997,103.0,0.000578594632591557,0.0005029090228719238
MarketPriceShock,200,5,0,20,5,5,10,False,,97.38,,0.00018763139048160317,
MarketPriceShock,200,5,1,20,5,5,10,True,365.0,99.41999999999999,101.0,0.000475178694742483,0.0006253973485920427
MarketPriceShock,200,25,0,20,5,5,10,True,315.0,111.7,128.40000000000003,0.002394586904515851,0.0005099097966708514
MarketPriceShock,200,25,1,20,5,5,10,True,0.0,101.0,101.0,0.0005273193943725165,0.000489794361188871
MarketPriceShock,200,50,0,20,5,5,10,False,,113.0,,0.0009569358249517893,
MarketPriceShock,200,50,1,20,5,5,10,True,335.0,101.12000000000002,103.70000000000002,0.0005631785051499752,0.0005933236187582841
